batch_size,boosting,confidence_quantile_kendall_results,confidence_quantile_spread_results,feature_fraction,lambda_l2,learning_rate,max_depth,min_data_in_leaf,n_estimators,n_input,n_output,name,nbytes_results,num_leaves,rmse_results,subsample,train_rmse_results,train_time_results,verbose,alg
1024,gbdt,0.1988815649163349,0.000940669923058,1.0,0.4644194069280383,0.0148476783145019,76,32,10,9,1,protein,66640,70,5.164360039026022,0.8610057418907793,5.196867805331433,1.9370721941813829,0,lgbm
1024,gbdt,0.0987109691930568,0.4068777904281516,1.0,0.24922328915515,0.0813612341331836,-1,10,571,9,1,protein,1119160,21,2.7933251595830537,0.740279453042273,2.388303070254022,31.353077413514256,0,lgbm
1024,dart,0.2525939285083832,0.0347132364937236,1.0,0.6551399702905534,0.0156310909438091,84,9,159,9,1,protein,876408,58,4.299842934124361,0.959511351353362,4.317203877991795,30.13075258210301,0,lgbm
1024,gbdt,0.1165871220379638,0.7952013006630259,1.0,0.1909457753023105,0.155579375738614,-1,12,184,9,1,protein,431296,25,2.824707861468877,0.9455715527134196,2.5227364306335893,12.03823829162866,0,lgbm
1024,gbdt,0.1256077221789033,1.3436303854592893,1.0,0.3861485985844752,0.0222990768942817,40,3,680,9,1,protein,941120,15,3.267102547435613,0.8828932851154525,3.151916361838422,29.370205778628588,0,lgbm
1024,gbdt,0.1616183804103222,0.0096185437293082,1.0,0.5243313663688376,0.0084370813753813,12,7,233,9,1,protein,479048,22,3.9886517963006978,0.8544943290574812,3.978183621601348,15.616688242182136,0,lgbm
1024,gbdt,0.1355054369704829,0.0484504894286466,1.0,0.4858021403887869,0.013103916200011,-1,30,335,9,1,protein,3100760,97,2.9358621222804118,0.9206077729834375,2.711978260874829,84.96690640505403,0,lgbm
1024,gbdt,0.1631962042199272,0.0204872527400482,1.0,1.5894920721099983,0.0237588539310998,38,14,131,9,1,protein,583736,47,3.3944905557217706,0.819617027256491,3.3163657959108583,17.38674926199019,0,lgbm
1024,gbdt,0.1069450193097887,0.942903138078274,1.0,1.6664666197372109,0.0586272459877001,-1,42,241,9,1,protein,1328392,58,2.749346980787733,0.9441706069429469,2.416081505863606,35.6380088403821,0,lgbm
1024,gbdt,0.0845409291242323,8.739822431982603,1.0,1.6203958608783449,0.1304648639439684,89,1,793,9,1,protein,4980040,66,2.371887510877832,0.7700908811371939,0.9956950478724854,136.3022310687229,0,lgbm
1024,gbdt,0.1125579988552308,0.2376060393799648,1.0,1.2166316039355125,0.1005355536648216,26,22,391,9,1,protein,578680,16,2.9016671334532624,0.7974222134444556,2.6515537745984683,16.829972022213042,0,lgbm
1024,gbdt,0.1225874632751134,0.1209976828870815,1.0,0.4053931221215883,0.0196961485068689,24,9,775,9,1,protein,1295800,18,3.1650784102005,0.7985768526637097,3.031122681473747,38.7647959375754,0,lgbm
1024,dart,0.1321187607783832,0.3856989413296975,1.0,0.5128996032425752,0.1156090363509175,70,5,425,9,1,protein,1281800,32,2.925639560853572,0.9517687145705755,2.6623696726472903,57.707106687128544,0,lgbm
1024,gbdt,0.1645289561852605,0.0037354815301934,1.0,1.1253944956470503,0.0071767585415013,60,10,87,9,1,protein,304152,37,4.646403050474524,0.7782984119821028,4.633058172540366,9.48902255576104,0,lgbm
1024,gbdt,0.0833978420345562,1.5758352089278442,1.0,1.6114150093515711,0.1749288517294017,55,5,541,9,1,protein,4488136,87,2.405806341698681,0.8841258983274497,0.8488625121872299,118.84988542832434,0,lgbm
1024,gbdt,0.1652284096760592,0.0185178297377565,1.0,1.0004132850248637,0.0464174007452359,26,10,68,9,1,protein,263840,41,3.4285756223023545,0.9021767714787828,3.357041829580325,7.739534847438335,0,lgbm
1024,gbdt,0.1239458950342355,0.049922014078189,1.0,0.7890478156722993,0.0098672451730129,7,23,463,9,1,protein,2865112,71,3.2129872788035327,0.8799970174701376,3.0878643046792438,65.7730311313644,0,lgbm
1024,gbdt,0.1036684215574625,0.1477844188892349,1.0,1.363589741120791,0.0453881857306264,-1,27,225,9,1,protein,1499400,70,2.774408030818924,0.7462863710140974,2.462981949912863,39.23666188120842,0,lgbm
1024,gbdt,0.1021414951013112,1.306398043767666,1.0,0.8515743265167139,0.0888182872835674,40,17,290,9,1,protein,2517200,91,2.512389192485665,0.7266301410096021,1.7693528767894058,64.38332541286945,0,lgbm
1024,gbdt,0.1375992560316128,0.0386103446677476,1.0,1.5688204156577004,0.0088074838765522,44,39,504,9,1,protein,2632896,55,3.138135267939893,0.8399306970689305,3.014038644595681,73.6203048331663,0,lgbm
