batch_size,confidence_std_kendall_results,confidence_std_spread_results,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,n_input,n_output,name,nbytes_results,rmse_results,train_rmse_results,train_time_results,verbose,alg
1024,0.0350165970294903,1.755868418596872,22.0,1.0,999.0,8,21,393,9,1,protein,93363776,2.642087068739264,2.0691100554530397,101.72490167617798,0,rf
1024,0.0437715355629444,2.0176664952521213,99.0,1.0,999.0,4,16,112,9,1,protein,39876224,2.572960405669304,1.7867676771789076,31.080138260498643,0,rf
1024,0.0430605065521868,2.4339295876927456,55.0,1.0,999.0,1,9,396,9,1,protein,292731136,2.416741833569533,1.2744019312695525,122.63470802083611,0,rf
1024,0.0183121925691903,0.8320948185571667,56.0,1.0,999.0,24,15,367,9,1,protein,35718848,2.9776738240332907,2.6364778684540804,84.08097015507519,0,rf
1024,0.0403254925049082,2.039097220813701,63.0,1.0,999.0,2,6,302,9,1,protein,280019328,2.415353452600696,1.1979304954131744,91.96551201678813,0,rf
1024,0.0186734572543925,1.7013204452776116,50.0,1.0,999.0,9,18,159,9,1,protein,41985600,2.582273147775442,2.052988998529448,41.42645817436278,0,rf
1024,0.0760061842314131,1.7114064173480108,17.0,1.0,999.0,2,6,359,9,1,protein,194857920,2.5300240580700044,1.489688511673768,99.60248181596398,0,rf
1024,0.0402186248986855,2.215304298745614,98.0,1.0,999.0,2,7,496,9,1,protein,404452608,2.4502567372045325,1.2564481520416488,150.4106251038611,0,rf
1024,0.0568416113973068,3.3152511500586184,98.0,1.0,999.0,4,7,22,9,1,protein,13489408,2.551017806951654,1.5292819998776273,6.276453450322151,0,rf
1024,0.0136591693057538,0.7187679636262314,63.0,1.0,458.0,6,15,385,9,1,protein,22545600,2.941783198163962,2.5975993513069686,86.00851385481656,0,rf
1024,0.0509946214150337,1.5486847706218905,5.0,1.0,999.0,17,31,278,9,1,protein,1100288,4.180283714125231,4.050380183577604,32.149587366729975,0,rf
1024,0.0359867113723124,1.0697055668503914,21.0,1.0,999.0,14,12,207,9,1,protein,34486976,2.8072755883403584,2.332652823056203,45.83780965395272,0,rf
1024,0.0531734625501863,1.457260768112205,62.0,1.0,999.0,10,39,512,9,1,protein,72290176,2.82008022519988,2.367564657622586,126.48585532791913,0,rf
1024,0.0100027191451125,0.945378834855562,18.0,1.0,480.0,37,10,510,9,1,protein,31282688,3.0190631965012416,2.8772158053088863,110.38414314389227,0,rf
1024,0.0533029032169863,1.7697925322380923,72.0,1.0,999.0,1,35,413,9,1,protein,89979968,2.7047000134719736,2.0980343174185525,113.7123252786696,0,rf
1024,0.0140667892127021,0.9222394384554298,46.0,1.0,999.0,33,6,304,9,1,protein,21358208,2.9936275518007416,2.826789372095561,66.9268108010292,0,rf
1024,0.0055523546776559,0.769508531573706,96.0,1.0,490.0,5,33,680,9,1,protein,42606080,2.859441567587228,2.5804937805435726,138.81128251273185,0,rf
1024,0.0468270741972359,2.895383417988284,88.0,1.0,999.0,6,38,633,9,1,protein,101611200,2.701725520009361,2.289349472412868,164.65834094490856,0,rf
1024,-0.0023539792634635,0.9074040599688804,99.0,1.0,116.0,39,29,508,9,1,protein,7510272,3.421546723141769,3.357710236422616,96.56526504363865,0,rf
1024,0.0482097774239493,2.071309661064966,70.0,1.0,999.0,3,4,446,9,1,protein,372389504,2.419670206516096,1.3073091789880416,132.32763625867665,0,rf
1024,0.0333722635118247,0.5427229360639424,8.0,1.0,999.0,6,3,396,9,1,protein,10708992,3.466957025904459,3.3687498260847173,67.35503082163632,0,rf
1024,0.04416943629293,1.185101363070732,16.0,1.0,999.0,17,30,464,9,1,protein,57752832,2.8024506927612958,2.4874324904809657,108.60813781805336,0,rf
1024,0.0231701593216143,0.8830231555371761,86.0,1.0,999.0,26,22,353,9,1,protein,31655744,2.947442600911749,2.6896731042851814,80.07691749930382,0,rf
1024,0.0549539518239204,1.5970747034349506,90.0,1.0,999.0,6,19,335,9,1,protein,94261056,2.650287804974753,1.952333756141976,89.37408213503659,0,rf
1024,0.0429394087050304,0.6307305992015236,7.0,1.0,206.0,3,35,604,9,1,protein,8356992,3.6677106847939256,3.620524932270572,92.88523022457956,0,rf
