,Experiment,Task,Selection,Contrast,$n$,Dropped,$\Delta$ metric [95\% CI],Win rate,$r_{rb}$,$p_{\mathrm{Holm}}$
0,Ambiguity gradient,CIFAR-10,early stop,delegators - none,57,0,"+0.0222 [+0.0190, +0.0254]",98\%,+1.00,$<$0.001
1,Ambiguity gradient,CIFAR-10,early stop,both - none,57,0,"+0.0613 [+0.0553, +0.0675]",100\%,+1.00,$<$0.001
2,Ambiguity gradient,CIFAR-10,end of budget,delegators - none,57,0,"+0.0222 [+0.0188, +0.0256]",98\%,+1.00,$<$0.001
3,Ambiguity gradient,CIFAR-10,end of budget,both - none,57,0,"+0.0572 [+0.0509, +0.0635]",100\%,+1.00,$<$0.001
4,Ambiguity gradient,SVHN,early stop,delegators - none,35,0,"+0.0224 [+0.0118, +0.0335]",69\%,+0.62,$<$0.001
5,Ambiguity gradient,SVHN,early stop,both - none,35,0,"+0.1250 [+0.1045, +0.1457]",97\%,+1.00,$<$0.001
6,Ambiguity gradient,SVHN,end of budget,delegators - none,35,0,"+0.0245 [+0.0136, +0.0359]",66\%,+0.67,$<$0.001
7,Ambiguity gradient,SVHN,end of budget,both - none,35,0,"+0.1277 [+0.1073, +0.1489]",97\%,+1.00,$<$0.001
8,Ambiguity gradient,Bike Sharing,early stop,delegators - none,100,0,"+0.0055 [+0.0047, +0.0063]",94\%,+0.98,$<$0.001
9,Ambiguity gradient,Bike Sharing,early stop,both - none,100,0,"+0.0110 [+0.0094, +0.0125]",91\%,+0.95,$<$0.001
10,Ambiguity gradient,Bike Sharing,end of budget,delegators - none,100,0,"+0.0053 [+0.0045, +0.0062]",95\%,+0.97,$<$0.001
11,Ambiguity gradient,Bike Sharing,end of budget,both - none,100,0,"+0.0085 [+0.0065, +0.0105]",78\%,+0.74,$<$0.001
12,Ambiguity gradient,Energy,early stop,delegators - none,40,0,"+0.0186 [+0.0138, +0.0239]",95\%,+0.96,$<$0.001
13,Ambiguity gradient,Energy,early stop,both - none,40,0,"+0.0590 [+0.0499, +0.0684]",100\%,+1.00,$<$0.001
14,Ambiguity gradient,Energy,end of budget,delegators - none,40,0,"+0.0183 [+0.0133, +0.0235]",95\%,+0.95,$<$0.001
15,Ambiguity gradient,Energy,end of budget,both - none,40,0,"+0.0543 [+0.0450, +0.0640]",100\%,+1.00,$<$0.001
