trial,value,b,c,d,load_lambda,layer_times_step,network_width
0,0.3037373184221635,1,2,3,0.3052952498463676,10,27
1,0.5319963078727519,1,3,4,0.5428808219706621,3,53
2,0.2517938351792005,2,3,3,0.600218776036815,8,78
3,0.27478693912902963,3,1,3,0.7394293505482233,8,60
4,0.41833701453277905,1,3,1,0.11239119784416518,5,10
5,0.15090212742914716,2,3,3,0.07784958493904204,10,70
6,0.20044636210144345,4,1,4,0.905718902290972,8,46
7,0.5939641136377223,1,1,4,0.5913311131333038,1,76
8,0.5528746616755659,2,3,1,0.17481197703561735,3,39
9,0.23583381637593775,1,1,2,0.13325048241102166,7,43
10,0.7056010074234389,3,4,4,0.3854173642866989,1,96
11,0.6904559089723232,3,4,4,0.37538048933230866,1,100
12,0.726809676897108,3,4,4,0.4346052881838175,1,100
13,0.6826482143838704,4,4,2,0.37021621214314965,3,100
14,0.6958023761943287,3,4,4,0.4389454410737422,1,88
15,0.5378042857306393,3,4,4,0.28461355582624204,5,87
16,0.6372929683436035,4,2,2,0.7225274355950557,2,89
17,0.5428111470364944,3,4,3,0.4740421776340477,4,64
18,0.5713319373582062,2,4,4,0.23146619673710767,2,92
19,0.11241046072384125,4,2,3,0.018673762587397835,6,83
20,0.6271515079108123,3,4,4,0.9722370389814888,2,72
21,0.7485969783869098,3,4,4,0.41459000094279297,1,97
22,0.7051676959308074,3,4,4,0.40165454266144895,1,97
23,0.6753976444792331,3,3,4,0.6727787495226816,2,81
24,0.5960077388129543,2,4,3,0.5095661014011982,4,95
25,0.6729963496378691,4,4,4,0.2814200981759441,1,90
26,0.5215877702125026,3,3,3,0.33982092655050716,4,83
27,0.5459123227162217,2,4,4,0.22746395523658525,2,68
28,0.6448948709857469,3,3,2,0.4568865069791828,3,95
29,0.7551086365143538,4,2,3,0.822812670640228,1,27
30,0.5146018083643807,4,2,3,0.7993245859062256,2,22
31,0.7094035744569851,4,2,4,0.5768899872836583,1,33
32,0.708750274091225,4,2,4,0.8514963283723439,1,28
33,0.37678681869212616,4,2,3,0.5698376540675311,3,26
34,0.6474006428670046,4,2,4,0.6506464204507074,2,34
35,0.26598835915535035,4,2,3,0.5241941553289154,9,13
36,0.6988615439223879,4,2,4,0.7646280664562126,1,52
37,0.43175991293627924,4,1,1,0.6227081417439951,2,18
38,0.5874063606134153,3,3,3,0.6817841467348345,3,31
39,0.1642339168668436,4,2,4,0.9344659183100532,6,58
40,0.7550452994155635,2,3,2,0.8390978902142463,1,50
41,0.7267578529184531,2,3,2,0.8527980383913626,1,51
42,0.7484424165837738,2,3,2,0.8553619442876046,1,54
43,0.740354494933401,2,3,2,0.8575288037435749,2,46
44,0.7380811931840411,1,3,2,0.865397237055617,2,46
45,0.6605467584550471,2,3,1,0.8098753284300816,3,39
46,0.7211698806325774,2,3,2,0.98185873273762,1,56
47,0.6853812947592547,1,3,2,0.8971543536887316,2,46
48,0.7323916424310368,2,3,2,0.7546247474714042,1,62
49,0.21360037556250377,2,1,2,0.9263380017762117,4,39
50,0.31934315184614764,1,3,1,0.8047271839178434,10,42
51,0.7460892336558655,1,3,2,0.900086871424574,2,49
52,0.801755345630556,1,3,2,0.8924186730240099,1,49
53,0.7602024678757636,1,3,2,0.9475728010070208,1,52
54,0.7229094878981142,1,3,2,0.993177270332015,1,55
55,0.8101648873818112,1,3,2,0.9397102242465025,1,66
56,0.7902457100670912,1,3,2,0.9377844573273015,1,68
57,0.5322995087934258,1,3,2,0.9430715076456895,7,67
58,0.7352408730760673,1,3,2,0.9580666963564772,1,76
59,0.7374327434529349,1,3,2,0.898369993077248,1,60
60,0.7450680861305969,1,3,1,0.7085704529786538,2,66
61,0.7770782748082746,1,3,2,0.81671195396785,1,73
62,0.7806273867722917,1,3,2,0.7918078046611079,1,73
63,0.7994885275571124,1,3,2,0.771804352710914,1,72
64,0.7725669505101056,1,3,2,0.8833317658936161,2,71
65,0.7871576186441935,1,3,2,0.7695121717032056,2,74
66,0.68027284172592,1,3,2,0.7738003052589781,2,73
67,0.7468865881162048,1,3,2,0.7889721820047688,1,78
68,0.690672239118969,1,3,1,0.720845816679854,3,75
69,0.820182608273967,1,3,2,0.746460655317026,1,80
70,0.613192556682099,1,3,2,0.7384076842250121,5,79
71,0.8049313193397769,1,3,2,0.827641263100256,1,70
72,0.7103236548819301,1,3,2,0.691928565327404,1,69
73,0.8111137442438442,1,3,2,0.9139200049817546,2,65
74,0.7214623747898357,1,3,2,0.9987687593308102,2,64
